scenario1 noweaken -1,scenario1 noweaken 1,scenario1 weaken -1,scenario1 weaken 1,scenario2 noweaken 1,scenario2 noweaken 5,scenario2 weaken 1,scenario2 weaken 5
58.76,8.40,70.59,7.50,18.27,181.30,40.54,185.51
58.17,6.71,69.62,9.10,9.99,191.40,24.55,182.28
58.85,8.42,71.27,7.19,25.74,189.31,10.13,198.16
57.54,6.73,70.78,7.31,34.62,189.59,31.16,171.69
58.08,6.64,70.08,9.22,28.65,186.01,27.78,192.37
58.27,6.75,70.72,9.12,21.12,199.34,28.86,213.56
58.54,6.65,69.38,9.13,9.85,140.48,32.26,213.91
59.06,8.41,71.02,9.25,31.01,167.49,14.89,173.46
57.78,9.81,70.00,10.85,28.21,138.97,37.21,219.88
57.09,9.72,70.67,7.46,40.54,170.16,38.03,221.98
57.54,7.99,70.87,7.39,26.26,161.76,30.46,172.87
57.86,6.66,70.94,8.92,13.94,144.81,37.41,211.19
58.22,9.82,70.13,7.26,33.47,196.87,33.56,192.42
57.53,6.77,70.47,9.33,23.24,162.69,28.87,197.67
58.63,6.67,70.92,9.28,20.93,172.19,19.26,204.77
58.61,8.41,71.49,7.49,26.51,153.05,20.87,213.72
57.56,8.51,69.52,7.45,36.32,189.93,35.11,218.47
59.49,9.67,70.22,7.26,38.10,167.17,30.85,166.09
58.26,6.65,71.31,7.35,19.60,164.30,10.91,205.47
58.17,8.31,71.16,7.20,27.74,147.34,21.01,212.72
58.65,8.44,70.24,7.27,10.16,154.54,10.15,165.39
57.10,6.70,70.86,7.48,10.82,194.47,31.63,185.53
58.42,6.67,70.77,7.50,13.63,157.96,14.28,204.52
57.48,9.85,70.38,7.35,20.15,158.79,11.03,220.75
58.23,8.43,69.87,7.38,21.00,157.89,13.81,202.17
58.12,6.63,70.03,7.24,24.81,206.13,31.72,224.63
58.44,6.69,70.44,10.87,14.86,156.10,31.80,163.42
58.07,6.68,70.21,7.58,14.86,187.30,32.68,200.18
57.73,6.64,70.16,7.28,33.36,162.30,32.59,168.53
58.19,6.68,70.43,9.28,32.03,181.91,23.65,202.42
57.74,9.52,70.37,7.32,14.34,187.23,27.90,200.30
57.99,9.72,70.51,8.94,23.86,147.48,34.78,237.42
57.88,6.57,70.35,7.38,31.56,188.86,30.06,191.03
58.80,6.77,70.30,8.97,32.59,169.29,14.61,177.51
57.82,8.39,70.39,9.12,21.37,185.55,21.43,219.00
58.59,6.61,70.55,7.16,19.01,190.84,20.91,227.57
58.55,6.51,69.94,9.11,23.05,151.23,19.29,213.98
58.73,7.92,70.29,7.20,26.03,150.28,10.29,212.99
59.25,8.42,70.58,7.24,33.82,141.99,31.99,205.65
58.33,6.66,69.51,7.47,30.82,157.43,20.04,215.37
58.38,6.69,70.61,8.90,14.85,168.50,10.26,173.89
57.86,8.55,69.95,9.01,24.03,192.54,10.03,189.56
58.46,8.36,70.95,7.31,38.72,189.23,30.05,220.38
58.85,8.46,69.89,7.38,24.52,149.28,15.13,213.35
58.43,6.71,69.47,7.28,28.53,191.77,13.73,228.67
57.30,6.66,71.32,7.45,10.60,165.40,23.64,172.24
58.86,8.40,70.01,7.43,22.18,184.02,32.52,218.17
58.01,8.48,72.03,9.12,35.38,197.31,27.06,179.66
58.29,6.62,71.05,7.18,10.30,180.30,29.35,217.30
58.25,8.05,69.74,7.15,10.95,171.74,31.68,223.66
58.46,6.70,70.13,9.24,23.77,151.00,32.13,218.36
57.55,6.66,70.90,10.93,21.04,166.97,29.29,199.92
58.13,6.71,70.45,7.36,11.01,172.10,28.42,187.80
58.65,6.57,70.30,7.46,19.56,199.54,31.58,211.00
57.58,7.95,69.81,7.39,10.26,160.72,42.43,226.49
57.97,6.67,70.44,7.36,25.74,167.64,36.39,191.91
58.95,8.45,70.20,9.18,9.67,195.81,24.36,221.50
58.65,6.69,69.26,9.06,21.13,163.21,14.05,215.34
57.89,8.37,69.85,9.26,10.52,187.15,10.86,226.02
58.06,6.62,70.20,7.48,19.10,167.40,9.54,212.88
57.74,6.64,70.36,7.21,29.14,167.81,28.36,196.16
58.12,6.71,72.35,7.56,26.32,194.99,21.28,224.30
57.47,6.74,72.38,7.46,23.81,140.65,22.12,203.46
58.22,6.73,73.17,7.14,27.33,189.44,14.10,219.40
58.22,6.68,71.23,9.10,28.21,177.50,31.61,198.63
58.85,7.86,69.81,7.29,14.46,150.06,14.50,198.21
59.09,8.47,70.93,7.19,36.80,185.36,14.86,167.35
57.75,7.94,70.42,9.08,33.90,138.47,14.95,209.57
59.47,8.52,70.10,7.30,24.24,199.89,23.25,215.82
58.91,8.51,69.92,7.33,19.53,205.27,10.58,186.92
58.02,8.46,70.48,7.38,30.81,145.41,30.46,189.57
58.00,9.73,69.80,8.96,25.01,169.48,10.48,189.55
59.24,7.94,70.53,9.13,23.91,193.89,31.86,179.17
57.76,6.68,70.36,9.04,34.18,141.31,37.57,176.93
58.70,6.59,70.81,7.28,10.23,150.36,34.28,216.21
58.33,7.96,69.88,8.97,24.48,211.94,32.91,210.49
58.65,6.60,69.28,9.11,10.77,190.02,32.79,159.34
58.63,6.66,69.72,7.33,38.59,197.71,14.83,223.59
58.80,6.74,69.91,7.40,10.21,194.76,13.92,194.16
58.13,6.62,70.60,7.44,38.35,162.61,32.44,215.62
58.40,7.93,70.94,7.42,10.01,142.67,29.14,178.00
58.37,8.31,69.23,9.16,14.34,156.96,39.01,210.07
58.91,6.60,70.94,7.41,23.79,190.63,41.07,182.67
57.37,8.51,72.64,9.20,27.15,189.65,10.36,224.32
57.55,7.99,71.89,9.16,14.85,177.78,10.61,162.52
58.68,7.92,71.69,9.01,26.99,158.17,44.57,224.49
58.54,6.62,71.78,7.54,10.24,146.59,32.17,224.28
57.96,7.96,72.32,7.42,15.03,169.18,41.16,175.51
58.30,8.58,71.38,9.10,10.14,183.26,31.65,223.31
57.51,6.65,71.02,7.41,32.88,185.95,32.85,194.75
58.26,6.66,70.14,8.95,9.88,184.96,10.30,190.57
57.92,6.64,70.33,8.90,26.27,176.63,38.16,193.11
58.65,6.73,70.20,9.07,26.45,195.81,25.57,206.63
58.49,8.43,71.01,7.23,10.42,184.44,41.68,205.18
57.94,6.69,70.79,7.30,37.24,167.57,10.67,229.73
57.82,6.65,70.44,7.17,18.65,155.92,42.44,193.23
58.69,6.63,70.62,7.30,14.76,186.43,39.53,190.20
58.52,6.86,70.42,7.18,10.59,161.05,39.65,183.13
58.67,8.35,70.96,9.14,11.77,182.37,11.26,223.35
58.76,6.78,70.27,9.08,34.38,193.69,10.66,226.63
